"","text"
"1786"," mengubah data gagal verifikasi verifikasi sesuai nomor sesuai prosedurnya diikuti"
"1787"," sayangkan pembaharuan susah susah mending versi mudah"
"1788"," knp memasang terdownload tp susah memasangkan langsung ggl"
"1789"," tgl instal mobile jkn engga logindi bilang update versisetelah update muncul update versikenapa ya"
"1790"," kacau udah kali login gk masuk keterangan koneksi gk stabil kali bobrok"
"1791"," daftar online apl jkn tpi responnya pendaftaran unthk udh dicoba gtu tolong bantu"
"1792"," diupdateuninstalinstal lgtetep dibukamalah diupdate lghadeeeuh aplikasinya pake tlg diperbaiki secepatnya"
"1793"," upgrade aneh susah mempermudah udh coba kali masukin password trs mksdnya "
"1794"," terdaftar bpjs keluarga terdaftar daftar bpjs online mendaftarkan keluarga mohon bantuannya"
"1795","masak gagal penulisan nomer hp terdaftar update pakai nomer bad"
"1796","ribet bener model loginya pakai email tlpn udah ganti nomer tlpn ni pilihan login pakai email"
"1797"," gmana daftar stuck menu pilih kelas dipencet muncul pilihannya sekelas goverment "
"1798","ribet ganti no hp login susah pakai pulsa cek status chika bpjs maaf lgi gangguan "
"1799"," daftar versi terbaru perlukan berjalan semestinya login menyusahkan pengguna"
"1800","lupa password nomer salah ber ulang kali salah nomer versi terbaru ya jaga nomer hp salah "
"1801","parah udah bener nomer password tetep dibilang gue salah nomer kartu kadang dibilang salah pasword kadang dibilang salah captca gue daftar berkali pulsa abis dipake sms otp bener terburuk"
"1802"," daftar peserta yaa masukan data ditemukan"
"1803"," daftar pengguna mobile susah masuk otp udah gitu aplikasinya tolonglah perbaiki aplikasinya biar emosi"
"1804"," bales pake bot nyuruh updet versi playstore sediain versi orang komen tuh baca jng kopas pake bot noob gk jng luncurin buang angaran "
"1805"," gimana yamau login susah bangetpadahal menulis nik sandi benartapi salahtolong diperbaiki aplikasinya"
"1806","aplikasinya jelek tdk berguna sdh ganti password tp ttp sj msh salah sdh ganti berkali kali msh ttp sj salah maunya sih ngabisin pulsa pelanggan ya bpjs pencatut pulsa dr kode verifikasi"
"1807","donlot krn gg pngen ribet kesana kemari ngurus eh trnyta mlah ribet nomer hp gg ter registrasi suruh chat pandawa tp gg solusi suruh telfon tp jaringan sibuk pdahal butuh pindah faskes ğ"
"1808"," bpjs susah dateng langsung pusat niat biar mudah lempar online online ribet banget lempar lempar "
"1809"," gimna log in trus suruh masukin nomer hp tpi kode otp masuk jngan bilang gara sinyal sinyal baguss mah bnyak birokrasi betulin langsung giliran online payahh ğ"
"1810"," gimana sich terdaptar bilang ngk terdaptar tolong ni konsisten klo kerjaan ngeprin ngk "
"1811","tolong perbaiki lagilebih mudah nyaman gunakanjangan masuk bisasudah haripadahal ganti faskes keluarga"
"1812"," web nggak aneh reset password apknya aneh pokonya"
"1813","mobil jkn dibuka update tolong diperbaiki pelayanan "
"1814","bingung urus bpjs anak lempar bilang online online kesana ripuh tolong sarana layanan pemeritahan mohon perhatikan "
"1815","min sy buka akun sy bs ya sy isi no nik bpjs nik ktp tp verifikasi "
"1816"," update log in notif password sesuai standarisasi password bpjs kesehatan suruh lupa password tp adaâ kode verifikasinya mengsedih sih "
"1817","maksudnya tunggakan yasaldo terpotong bulanblm prnh bpjs koq tunggakan rb mksdnya gmn"
"1818"," membantu daftar disuruh hubg via wa chika hubg call center nomornya terpakai sampah"
"1819","pulsa terkuras verivikasi trus masuk kemana tuuang verivikasi trus menerus login"
"1820","koneki internet bagusmasih muter notif cek koneksi buruk"
"1821","susahhhhnya login udah klik kupa password udah masukin nomer telepon berhenti dicoba lg berulang udah jkn versi bermasalah payahhh"
"1822"," masuk aplikasinya coba lupa password bisabisa nomor telepon sesuai pilihan email biar mudah "
"1823"," registrasi registrasi mobile disuruh autodebit menu registrasi autodebit no telpon note found tolong aplikasinya perbaiki"
"1824"," ubah faskes email karna kode otp sms melewati batasmaksudnya tu udh sebulan coba hasilnya aj mengecewakan terimakasih"
"1825"," susah masuk time out sinyal buruk payah makan pulsa pulak"
"1826","tolong pendaftaran ngulang kesalahan trus aplnya nerima sinyal aplikasinya jelek sy kesusahan mendaftarnya"
"1827"," bsa loginketerangn no kartu salahklik daftar baruket terdftar tpi bsa loginmau apaa"
"1828"," abis perbaharui tdk login no kartu bpjs bnr pasporwd uda bnr login mlah dsruh lupa pasporwd udah lakukan no hp terdaftar beda aneh"
"1829","koneksi lancar jaya masuk mobile jkn perintah periksa koneksi internet ğ"
"1830"," gangguan update versi versi login versi susah login tolong diperbaiki"
"1831"," daftar login berkalikali salah masukan "
"1832","susah masuk ribet susah rakyat sampah susah rakyat"
"1833","bukanya parah log in id pasword udah bner suruh ganti pasword ribet laah mna nomber udah angus bsa ganti pasword "
"1834"," resmi pemerintah mengecewakan mempermudah mempersulit"
"1835"," reset password dikirimkan kode otpnya nohp pulsanya dimanamana dikirimi sms ya ngaruh pulsa "
"1836"," log in ribet pdhal udah terdaftar suka pake tp skr log in ribet"
"1837"," ntut iki go daftar ra kenek saranin instal kecewa"
"1838"," mendownload knapa nga dibuka aplikasinya "
"1839"," ganti email susaah email kode otp udh betol sinyal bagus update apkl tetep maunya siih"
"1840","gimana sih habis up date login lg data bener mending pake parahhh nyesel update"
"1841"," bayar auto debit via bank kena transaksi namanya maling uang donk brapa milyar tuh disedot bri rakyat tolong deh menbuat rakyat sulit"
"1842","parah si versi barukirim otp pake pulsa ane kartu pasca bayar dkrm smspulsa ribet bngt pkai no hpemail wa bisadi ribet "
"1843"," membantu daftar berhasil pulsa dipotongmalah login"
"1844"," bego mah bermutu nyedotin pulsabego"
"1845"," saran login dicoba lupa password crash auto nutup bener emosi nih ğ"
"1846"," ribett bangett mending asuransi kesehatan swasta "
"1847"," habis update update pasword ganti pasword nomor telp data bpjs nomornya dah hangus musti gimana "
"1848"," anggota keluarga bpjs pindah penanggung biaya pwrusahaan cabut berkas daftar perusahaan mendaftarkan"
"1849"," jelekpasword sesuai standart lhagak bergunacoba kembalikan log in pake emailemail ribet "
"1850","mendadak login an registrasi komflit login sialan bangat nih aflikasi"
"1851","jelek keselapk diupgrade ktp gua terdaftar upgread udh login eh verifikasi nomor hp notif pulsa lahh heran pulsa gua sialaann"
"1852"," eror sih download daftar sia sia eror "
"1853"," ya login gagal pake nik nomor bpjs login email aktif nomor hp terdaftar hp hilang nomornya udah dipakai org "
"1854"," perbaiki download tombol klik"
"1855"," lupa sandi ganti sandi verivikasi dikirim sms ko sms ngga ya gimana "
"1856","apps daftar tp bs disuruh wa pandawa pandawa disuruh telp call center auto bintang auto unistall"
"1857","app jkn habis update ribet sih login lagisalah psswd app bagus"
"1858"," rusak sdh tidk login slalu daftar auto debit gila kali ya"
"1859"," mempermudah mempersulit login lupa pasword no hp aktif"
"1860","lupa pasword kode verifikasi kirim kirim coba pakai email wa"
"1861"," diupdate stelah dibuka daftar hadeeh mudah buruk user bisatetap pakai nomer ktp kis email mudah login"
"1862"," bukanya bagus parahhabis update masuk aplikasikatanya device udah rootrott tau ngooook"
"1863","aplikasinya beres login pendaftaran peserta logout payah uptodate beres"
"1864","silahkan hubungi gitu jawabannya tolong dibenerin sarvernya data dah bener salah udah habis pulsa ribu nelpon call center susah cetak kartu duh ampun dach ngk anggaranya ya mudah diakses sengaja biar dikenakan biyaya call center"
"1865"," pengaduan ditampilkan aduan closed info hasil verifikasi aduan "
"1866"," ribet simpel perubahan nomer ribet banget password enakan lupa password tinggal kirim email"
"1867","apps buruk log in nik no peserta "
"1868","daftar persulit lengkapi data fasilitas kesehatan ngerti dahpuyeng"
"1869"," pusing kali kox nomer hp beda"
"1870"," sih buatan pemerintah bapuk anggaran proyek doang gede error"
"1871"," nomor tuh sibuk melulu serius nih perusahaan telp utk dibantu perubahan data janjinya eh ud seminggu msh ad kabar data berubah oo come on pelayanan "
"1872"," gk jlas suruh update log in suruh ganti pasword udah ganti pasword suruh verifikasi via nomr telefon nomr salah ya bener"
"1873","gimana nie sya setor alfa mart tanggal sep potong atm tanggal sep gitu yaa"
"1874","aplikasinya becus urus login gagal keterangan mohon maaf transaksi diproses jkn"
"1875","aplikasinya asik udah berulang kali reinstal buang kuota "
"1876","klu log in jgn log in password fb istagram bgtu app bs lupa password repot "
"1877"," log in masuk email nomor kartu bpjsnik ktp kendala daftar ulang data terpakai"
"1878","kacau dah ngecek pake sandi bisasuruh sandi pi nomer dah mati ilang"
"1879","aplksi apandlu udh pernh daftar bsa kbukatrus hp hilang tu login dhp laen muluharus da komprsi no hpkn hp hilng hrusy pilihan email no hpjdi gampangbuat login udh da pegaduanğğğğ"
"1880"," kyak gitudikit upgrade udah upgrade versi terbaru parah kemudahan ribet "
"1881","susah masuk lggara update ppkm ky ginikeluarga lg rawat kantor ny ttup susah masuk solusi"
"1882","buruk buruk nomer hp sesuai data nomer didata bpjs ganti nomer hp"
"1883"," menyesatkan bbrapa kali log in nik password "
"1884"," daftar kekantor bjps disuruhnya online kecewa banget "
"1885"," gk udah masuk udh tinggal pendaftaran autodebet ehh dibilang salah nik aneh orang tinggsl nunggu otp telpon msuk lgi eror lgi hdeh tolong bnr klok "
"1886","gabisa login doang abis ngapain buang kuota download "
"1887"," buka palikasi mobile jkn disruh updatesetelah diupdate dipake gitu terusterus gitupadahal loh kecewa sm sii diperbaikinapa sengaja ya dibikin sulit"
"1888","sdh diupdate tp koq jd lemot ya ubah peserta sdh diupdate bbrp sampe terbaru ttp perubahan"
"1889"," didaftarkan perusahaan buka aplikasinya login ngga buka profile fitur ya kirain kendala jaringan dicek jaringan aman "
"1890"," alamatnya tampil aceh ajah sy kab gowa aceh tampil mohon perbaiki"
"1891","parah benerpadahal sandi kartu bpjs udah benertapi loginparahmen"
"1892"," buka update repot banget sih update tanggal skrg taggal update lg menyusahkan makan kuota"
"1893"," update login berulang dimasukin pasword salah pdahal pasword audah mengirim kode otp tdak msuk sllu pulsa tdak mncukupi"
"1894"," log in hapus no hp langsung kantor chat wa baca kirain online"
"1895"," yah nomor telepon terdaftar terganti nomor gk tw nomor "
"1896"," garapan pemerintah makan anggaran gk optimal"
"1897","kirim otp doank pake pulsa ğ kali kirim gagal masuk otp pulsa abis siasiağ blm terlanjur download mending baca ratting biar siaâ download "
"1898","alasannya nomor sesuai data giliran ubah nomor pulsa abis sedot nomor call center chat wa gunanya ujungnya disuruh hubungi layanan istri gua hamil woy ngurus cabang bayi"
"1899"," udah pake wifi rumah login tulisan koneksi stabil yt full hd lancar giliran login gabisağ"
"1900","lupa pasword dapet kodenya no tlp no tlpnya hilang gimana dah tuh hubungin via online responnya lambat mending kaya dapetnya gmail "
"1901","tolong diperhatikan maintenance aplikasinyasetiap errorselalu stuck logo jkn mobile"
"1902","hallo udah kali login pasword masuk knp ya pdhl udh isi tolong direspon"
"1903"," jkn terburuk udah isi bener tetep salahkan keselklo bs mudah kayak gini nyusahin"
"1904"," gimana sii udah berkali coba daftar nggak udah pakai terbaru gini verifikasi nohp terusmohon diperbaiki"
"1905","boroboro daftar susah gagal tolong perbaiki ğğââïğğââïğğââï"
"1906","pengalaman klu didaerah sepi gampang bpjs dipersulit klu dikota dipersulit ya"
"1907"," login no bpjs salah pdahal benarnyoba pake nik bilang nik salah"
"1908"," membantu tolong diperbaiki sistemnya ğmau daftar online susahnya ampuuunnnn no cs jg gk merespoonnn hayygoooo"
"1909","lupa pasword pake panduan ketik lupa pasword nunggu verifikasi dikirim no hp sdh kunjung dikirim "
"1910"," inikirim kode verifikasi susah betulgak masuk masukjaringan baguspulsa adatlong perbaiki "
"1911"," update muncul tulisan mobil jkn berjalan device diroot maksudnya apakesel "
"1912"," bpjs membebaskan berobat klinik mendaftarkan kliniknya"
"1913","gagal log in trs alasan password salah sinyal jelek masak pemerintah kayak gini"
"1914","semenjak versi jknsaya sulit masuk kecewa nyaman menggunakannya"
"1915"," down dftar ahli via pesan whatsapp pandawa ikutin tuntunannya via whatsapp ahli pendaftaran jkn ğğ"
"1916"," habis perbarui kaga buka pemberitahuan terdaftar salah kacau ah"
"1917","daftar berulang kali nunggu kode vertifikasinya mintak ampun membantu pusing"
"1918","masaa daftar peserta aplikasinya buka masukin nomer kk aplikasinya gimana sihh"
"1919"," sih giliran login daftar pake hp no hp tolong perbaiki"
"1920","koq repot ya ganti no tlp layanan wa chika pandawa mgu wa no layanan smp blm baca direspon dikasi solusi"
"1921"," turun kelas dipersulit ya ndaftarin mbayar kenaikan signifikan iuran turunkan kena dampak ekonomi ech telpon masak orang tua udah lansia parah maaf ya ortu dikampung gaptek terkait kayak gini otomatis anaknya donk ngurus"
"1922","mohon update dikasih pilihan update buka update mulu update pakai"
"1923"," login nomer daftarnya aktif susah masuk mending unistall"
"1924"," sih aplikasiyg versi blom bisaini disuruh update versi update kirain beres eeeh masuk susah masuk langsung log out sendiriaplikasinya emosiğğğğğğğğğğğğğğğğğğğğ"
"1925"," rubah data abis resign kerjadateng kekantor suruh chat cabang wilayah ceklis satau tlp informasi berbicara langsung menit diem "
"1926"," komplain ngejawab bot operator pake template copy â paste doang jawabannya "
"1927"," kasih bintang masuk akun bpjs kesehatan sya ya tolong perbaiki"
"1928","udah akun sandi udah salahğ kembalikan login pakai email"
"1929"," emang update uji coba dlu gtu form login tau emang gaji developernya "
"1930"," kasih bintang bintang kasih bintang suruh update ehh dipersulit kode otp reset password ğ kode otp pakai sms berbayar ğğğğğ"
"1931"," merubah datamau masukkan email mencetak kartutp gagal terusberkali kirim kode otp masukkan kodenya gagal jugapadahal kirim kode bayar pulsa smspulsa rb habis sms tp bisapadahal perbaruibener emosi"
"1932"," daftar peserta online lha gunanya suruh chatbot link kantor cabang susah "
"1933","sungguh ribet no handphone sesuai terdaftar no hp jg tdk ganti salah tulis mohon penjelasannya udah coba pandawa jg tetep ribet"
"1934","kaga becus mending jual masker pinggir dasar tolol ubah data sulit "
"1935","jelek skrg jkn mobile pasword salah udah benerr kecewaaaa "
"1936","kaga bagus palikasi kaga membantu memeberatkan masyarakat balikin palikasi kaga bener semenjak update kaga update update palikasi "
"1937","lupa password pake no hp nomor nda aktif nggak email"
"1938","gk daftar masuk app kluar kasih bintang karna "
"1939"," update log ouy giliran log in gbs koneksi time out kaga banget segini pake berbayar bpjs payah"
"1940"," mendaftar isi no kk captcha klik "
"1941"," skrg login pakai email kali dftar jkn mobile pake email"
"1942","pelayanan buruk dibilang jaringan internet stabil streaming video lancar jaya simpan login reset lelet banget"
"1943","semenjak update jdi susah login sandi hurup dn du suruh ganti coba lupa pola verifikasi no hpno hp yng terdaftar udh aktiv tambahin verifikasi email "
"1944","daftar online ribet gabisa dianggap bayar tgl bayar sampah emang "
"1945"," diupdate login login pasword nomer bpjs salah paswor catat berkaliâ nyoba masuk tetep "
"1946","admin jkn login nik no kartu bpjs no tlp masukan login login"
"1947"," ubah nomor hp susah pake antrian penuh nunggu sejamkalo cs tambahin"
"1948","nge bug nih mintolong perbaikirepot klo nge bug terusmau daftar faskes susah rto "
"1949","aplikasinya bagus masukin no kartu masukin password salah passwordnya skrng trs dibilang salah si "
"1950","aneh daftar gabisa salah no hp mulu ngecek gabisa udh hubungi wa suruh media sosial pengaduanya trs gunanya no wa dicabtumin chika udh tlpn call centre sumpah gamemuaskan penangannya urus offline suruh kesinisini hasilnya nihil"
"1951"," tanggal jd berubah trs ya tgl lahir ya kd ya daftar tolong "
"1952"," pemerintah mesti lag gk sesuai fungsi daftar dibilang nambah anggota piye seh"
"1953"," ngaco login pakai email rubah pakai nomor bpjs kesehatan rubah password login niat nggak siiii"
"1954"," app sih coba log in perangkat kartu tolong fix gini sih"
"1955"," mendaftar gabisa pengisian data ya"
"1956","susah kali login udh kali dicobagagal trspermudah donk min"
"1957"," update terbaru login masuk susah email password skrg ribet user"
"1958","buruk masuk ngk masukin nomer udah tp bilang salah nomer mah gimana sih "
"1959","udah daftar login nik sandi bener login salah login payah bnget profesional "
"1960"," login nik nomer kartu bpjs password captcha sesuai password salah captcha sesuai bermasalah aplikasinya"
"1961"," masuk susah ya verifikasi nomor pakaki bpjs orang tua suruh ngubungi pandawa pandawa hubungi gx bales"
"1962","semoga mudah diakses data peserta bobol login saaat ppkm level tolong perbaiki"
"1963"," buka gk dh download ni buka root sih nih nambah gk jls"
"1964"," kantor bpjs disuruh via app app suruh via whatsapp telfon telfon whatsapp trus fungsi app "
"1965","benerbener kerja lemot websait dateng langsung eror watsap bales solusi "
"1966"," download spam daftar register stiap kirim kode otp nomer salah aneh dftar jgn downlad ngabisin kuoto iya"
"1967"," udah enak login pake email ribet nomor hpnya keacak acak "
"1968"," susah suruh update ribetingimana sihudah berapakali kali coba gagal terusssspayahhhtolong permudah aksesnya"
"1969"," diupdate jd tdk log inhrs menu lupa password dst ribet"
"1970"," ngupdate mulu ribet banget dah asli gimana jgn hrs ngupdate mulu kali ya"
"1971","parah apliksi iniudah masuk cetak kartu tinggal masukin kode verifikasi sms susahe ampunmalah konfirmasi pake pulsa lagimnding tolong sushin masarakat"
"1972","karyawan kantor bpjs punyak etika pulak aplikasinya eror karyawannya eror"
"1973","apalah aplikasimau daftar nggak bisabuat marah ajakemarin daftar askes pake hp samakok no lainbuat marah ajağğğ"
"1974"," updategiliran udah update login gara password salah pdhl udh bener diperbaiki dirusak sih pdhl dibutuhkan cz kartuku hilang"
"1975"," gimana tetep salah nggak login tolong perbaiki "
"1976"," rubah data ribet banget dri tgl november smpe skrg udah habis pulsa ribu telpon call center bilang jam smpai detik konfirmasi niat permudah persulit tol"
"1977","nyesel update aplikasinya berobat tinggal tunjukin login salah mulu giliran lupa password nomor telfon terdaftar salah input nomor males banget"
"1978"," ngunduh masuk katane diroot ndak dibuka bolak instal ulang jga "
"1979","tibatiba masuk susah paswad salah mulu kacau kaya mentrinya kodok"
"1980"," daftar sruh mlh sruh daftar onlinepas download mlh kaga pake piyee ikiğ "
"1981"," payah mempermudah mempersulit "
"1982","aneh pulsa kudu juta biar dpt otp pulsa dpt otp aplikasinya aneh"
"1983"," perbarui eror gabisa log in sandi udah diganti gabisa log in"
"1984"," kesehatan pikun arahnya lupa password suruh chat si icih wa si udin benerin nomor telpon na memudahkan ngadon musingkeun"
"1985","lupa no bpjs login pake nik gabisa pdhl sblum update udh akses fiturânya payah"
"1986","aplikasinya aneh susah login udah kasi lupa pasword kirim verifikasi nomor hape nga masuk kodr verifikasinya enak sebelm update"
"1987"," halu karna corona ya masukin passwaord sesui standar psw reset psw nomer hp salah masukan nomer daftar karna korona keuangan susah jgn ngerusak kasian butuh"
"1988","susah dibukanya internet stabil dibilang gk stabil internet aplikasinya stabil"
"1989"," login captcha munculpadahal jaringan stabilpake paket datadan pindah wifi ajaga munculgimana login"
"1990","sistem akhlak terbayar doubel giliran terlambat bpjs gk kelen suruh telpon buang pulsa beres akhlak emang"
"1991","tolong yah dibilang nomor salah nik salah password salahlah cek tp tdk keliru masuknya gimana pilih lupa password tp muncul tulisan nik tdk terdaftar pdhal bayar bpjs"
"1992","susah otp pulsa udah kepotong udah coba berkali ribet banget"
"1993"," daftarkatanya no hp sesuai terdaftartapi merubah no hp whatsapp disarankan"
"1994","kirim kode otp pakai pulsaampun dahbegini aplikasiribet"
"1995"," daftar apl tdk tau no terdaftar dkantor bpjs nyasolusinya gimana tidk daftar login no krn tau no "
"1996","bug bejibun habisnya update perubahan fitur lupa sandi dipake isi no hp force close fix delete "
"1997"," diupdate login lupa password jg balasan notifikasinya ngabesi pulsa bae"
"1998","apps kendala ya login gagal reset password otp masuk notelnya gimana "
"1999","jelek sekalimo daftar pengguna ribet no tdk terdaftar menghungi call center robot mulu wa robot mulu jawabbukan ngasih solusi emosi"
"2000","udh hapus sengaja donlod ulang "
"2001","tolong fitur fiturnya diperbaiki sinyal bagus dipake macem sulit nyimpen data fitur kelas inap diklik urgen gini dipersulit"
"2002"," aplikaai abal"
"2003"," gatel gk mudah era digital dibikin susah "
"2004"," terdaftar bpjs kesehatanlogin jkn no hp masukan sesuai data bpjs kesehatananeh"
"2005"," mempersulitmau ganti no hp susahtolong pambuat aplikasinyaagar permudah lagiini jaman onlineharus efisien"
"2006"," bener ngadat sukanya auto logout login gabisa pswd lupa otp dipersulit no hp terdaftar nomor hpnya bener dtg bpjs langsung help gimanaaaa"
"2007","sistemnya jelekminta kode otp pulsanya dlu"
"2008","krim otp mesti pakai pulsa aduh aplikasinya gx mempermudah"
"2009"," kenapah susah masuk salah paswot ribet ajah mobil jkn mempermudah mempersulit"
"2010","gmana sih udah masukin no kk aktif udah cek disduk capil aktif gmana sih udah mah bayar gratis sih ok ok "
"2011","aplikasiğğğğğ"
"2012"," log in ya no kartu password gagal log in"
"2013"," matang buktinya keluhan ratingnya rendahmohon diperbaiki dipermudah pengguna initrims"
"2014"," ampun"
"2015","update muluuu"
"2016"," daftar susah mutu"
"2017","std pelayanan aneh"
"2018"," asalâan wooiy korupsi kerjanya "
"2019","knp dpfr susah no tlfn tidk trdftr kayak gini mempermudahsemakin mempersulit masyrakat diperbaiki aplikasinya bos"
"2020"," aneh upgrade versi terbaru kacau"
"2021","password sesuai standar jd ganti password tp syaratnya mencantumkan no hp no hp udah aktifmau ganti data no hp udah coba pakai layanan pandawa berhasil terganti no hpnya"
"2022"," gembel emosi reset ps pake kode otp tpi giliran udh dpt otp kosong nomer tlp no tlp lgi kirim otp ngabisin pulsa doang bgst gua naek darah "
"2023","bad "
"2024"," daftar penjelasan jg "
"2025"," gantinama bayi sistem eror terusgmn sih inidlu jaman anak sehari selesai ganti faskes skrg knp eror mulu ya"
"2026"," daftar tiblogin gagal"
"2027","lelet "
"2028"," suka lupa password sulit"
"2029"," gimana sih yakmau daftar bjar dapet informasi tpi ginihaduuh ğââğââğğ daftarin anak lahir biar terdaftar kartu bpjsnya susah dah inimah"
"2030"," bintang minus kasih minus iya kaya main pingpongmau daftar suruh login giliran login suruh daftar gmana sh maunya"
"2031"," alamat udah sesuai ektp buka pendaftaran mobile jkn ktanya alamat sesuai ktp bodoh si pembuat mudah dipersulit ujung desa kantor bpjs daftar kantor disuruh daftar "
"2032"," buka"
"2033"," dilanjutkan"
"2034","apl masak lupa paswod ribet ampun"
"2035"," daftar sbg peserta susah ampun "
"2036","apl eek"
"2037"," dftar jkn mobile unduheh masukin no hp terdaftargimana sihribet dah"
"2038","ribet pakai giliran kantor disuruhnya log in pakai password bisağğğğ"
"2039","susah dipakai daftar login login keterangan perintahnya bingung gmn "
"2040","sdh chat pake pandawa perintah sdh jalani nggak balasan nggak respon"
"2041"," berfungsi fungsinya salah contohnya perubahan no hp manual bpjs gunanya sih merepotkan pengguna bpjs dasar payah dasar lemah"
"2042","bagusbaik"
"2043"," dibuka"
"2044"," susah login"
"2045","loading lemot bngt bagus"
"2046"," berguna mempermudah ribet pindah faskes pindah domisili kota download kantor bpjs daftar susah no telp terdaftar koneksi internet terganggu bayar iuran siasia bpjs payah"
"2047","apl mutu verifikasi pakai pulsahedewww elo bumnpersero gaji sampe verifikasi pulsa pengguna iuran dinaikkan"
"2048","kaya sih registrasi no hp salah melulu"
"2049"," berguna daftar pakai nomor ganti hp tp verifikasi"
"2050","menyusahkan simpel memudahkan iyaaa memudahkan orang biar cepet mati"
"2051"," loading "
"2052"," gagal mengirim kode otp muncul pop up koneksi internet stabil daftar susah"
"2053","parahh bs masuk pelyanan buruk"
"2054"," sekelas bpjs milik pemerintah kayak gini ya ganti password login masuk stuck menu home wort it banget"
"2055"," sehabis aplikasinya instal ulang masuk akun bpjs no bpjs password "
"2056"," gk mempersulit hidup"
"2057","yahhhhhhpantas ngasih bintang sesuai kualitasnya taraf nasional negara gini"
"2058"," pake otp input otpnya dimanaa stelah dapaat buang pulsa sulit dipahami"
"2059","jaringan butut gagal login browsing lancar login susahnya ampun"
"2060"," berguna pelayanan online mending benerin masukin nomor kk terdeteksi anggota keluarga melengkapi tulisannya lahir sesuai dispendukcapil ri ngisi manual data sesuai dispendukcapil ri menyusahkan ribet sesuai sesuai apanya sesuai"
"2061","fitur lupa password no handphone no aktif opsi "
"2062"," masukmasuk gagal "
"2063"," gagal produk"
"2064"," errornya "
"2065"," taaaeeekkk"
"2066"," pergantian no hp offline cabang online pandawa no hp tdk terdaftar trus sy gmana ganti no hp slaian onlineoffline jgn tagihan pemotongan on time giliran kluhan kasih solusi"
"2067"," reset pasword emang gk email yah trus gmn klo no hp hilang iya alternative slain no hp "
"2068","loading bener masuk ğ"
"2069","aplikasinya didownload"
"2070","bermasalah nohp terdaftar mobile jkn mendaftar karna kesalahan nohp "
"2071"," update tdk auto login mencoba login keterangan paswod salah ganti paswod ulang kode otp ndak pdahal no hp terdaftar pulsa jg tolonglah sistemnya mudah eh layanan mobile persulit ya permudah gini santai "
"2072"," log in dibikin ribet"
"2073","appnya susah akses"
"2074","gmna sih sya daftar ko gagal gajelas"
"2075"," ribet udah login jg gk login"
"2076","sdah loaging slalu coba ganti jaringan apapun mdih ttp timeoutjsringan tdsk stabilğğ"
"2077","hapus"
"2078","gua kagak log inhoiiiilupa password nmor gua salahhhh payaaahhhhhhh"
"2079","app nak dibuka selesai langsung berhenti kon online app ra genap ra transparan meneh"
"2080"," mengganti no hp login fasilitas pandawa disuruh mengisi formulir dihubungi maks menit setelahnya detik tindakan chat pandawa balas bot hadeeeeeh ra masooooook"
"2081","gagal "
"2082"," gimana daftar kolom alamat non aktif pemberitahuan lengkapi alamat "
"2083"," "
"2084"," kacau udah kali login gk masuk keterangan koneksi gk stabil kali bobrok"
"2085"," login"
"2086"," perbaharui log out klik lupa password kirim email no hp nonya aktif kirim email pilihannya tolong perbaharui "
"2087","ni orang bilin kgk niat masukan no hp slalu bilang koneksi hp tidk stbil udh make wifi make data kgk sok sok an layanan online klo gini ma mending offline rugi anggaran aplikasiny"
"2088"," buatan pemerintah jelek ampas"
"2089","gimana cetak kartu bpjs ya"
"2090"," applikasi birokrasi susah print out kartu verikasi email nomer hp berulang ulang"
"2091"," gk nomor hp sdh salah mngkin otak salah"
"2092"," masuk kemarin oke oke wae lo"
"2093"," berantakan nih reset password ribet bener mempermudah mempersulit kah "
"2094"," maksa banget autodebet gua rek bni pilihan autodebet rek bni autodebet buka diribetin sii bayar ko update mulu ribet "
"2095","ni diperbaharui sih kebuka eror"
"2096"," daftar autodebet kode verifikasi dikirimkirim pulsa kepotong duuh kecewa banget pelayanan "
"2097","kcewa"
"2098"," jelek susah masuk najis"
"2099","susah ribet jaringannya susah mulu buka jaringan lancar daftar jaringannya madet sampe diulang ulang tetep tolong dipermudah"
"2100"," buang buang uang rakyat aturan udah utakatik susah orang ajaliat pensiunan rakyat pelosok online hp"
"2101"," download gagal trs"
"2102"," ribet"
"2103","terimakasih mempersulit login balasannya"
"2104","aplikasinya membantu sya mendaftar mobile jkn dgn nomer telp terdaftar keterangan no hp masukkan sesuai data bpjs"
"2105","udah bpjs login nomor singkron nomor kk terdaftarkan ngecek pembayaran susahhaduh ngabisin uang pemerintah uang pemerintah uang rakyat jga tolong perbaiki permudah kasian membutuhkan kesulitan mikir oiii"
"2106"," memepersulit masyarakatğ"
"2107"," memudahkan pengguna"
"2108"," password kk mohon bantu terdaftar tpi ngk masukâ krna password"
"2109"," reset password pulsa tolong permudah catat password salah reset mohon evaluasi"
"2110"," urusan offline klo sistem online blm siaplagi menyusahkan ğ"
"2111"," ko ribet daftar susah kya tau masukin nmr tlvn bacaan kesalahan koneksi teroos data normalâ gaada hambatan apapun isi pulsa tpi isi pulsa tetep gabisa "
"2112","daftar jkn suwarni"
"2113"," log in nomor kartu bener password udah bener tetep masuk"
"2114"," login susah ribet"
"2115"," buru jelek bermutu membagongkan"
"2116"," gk log in sandi nmr bpjs nik ktp udah gk masuk"
"2117","gimana verifikasi nomor tolong bayar kewajiban lho manfaatkan sulit mengaksesnya"
"2118"," kirim kode verifikasi pakai pulsa segalağ"
